model,accuracy,f1,auc
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9811507936507937
Support Vector Machine,0.9824561403508771,0.9861111111111112,0.9811507936507937
Random Forest Classifier,0.956140350877193,0.9659863945578231,0.945436507936508
Decision Tree Classifier,0.9298245614035088,0.9444444444444444,0.9246031746031746
